latency(lag),total size,packet,time_stamp,err_count,success_count
3877,37610198347,100000004,6263.28,725137,98818834
3876,37610326102,100000008,6295.39,726468,98817538
3875,37609871256,100000004,6327.51,726624,98817354
3876,37609803238,100000008,6359.63,726624,98817348
3876,37609893713,100000008,6391.75,726604,98817346
3876,37610603848,100000004,6423.87,726553,98817381
3875,37610465139,100000004,6455.99,725779,98818209
3876,37610281971,100000004,6488.11,725472,98818540
3876,37610065047,100000008,6520.22,726624,98817364
3876,37610019528,100000008,6552.35,726624,98817344
3876,37609856455,100000004,6584.47,726624,98817353
3876,37610205369,100000008,6616.59,726572,98817365
3876,37610468888,100000012,6648.71,726531,98817441
3876,37610046992,100000004,6680.82,725305,98818658
3876,37610303607,100000004,6712.95,726000,98818025
3875,37610239748,100000004,6745.06,726624,98817351
3875,37609903629,100000004,6777.18,726624,98817361
3875,37609633325,100000004,6809.30,726624,98817329
3875,37610658397,100000004,6841.42,726554,98817368
3877,37610328535,100000004,6873.55,726315,98817685
3876,37610353147,100000004,6905.66,725114,98818856
3876,37610206754,100000004,6937.78,726425,98817583
3876,37609874699,100000012,6969.90,726624,98817355
3876,37609885197,100000004,7002.02,726624,98817348
3876,37609889274,100000006,7034.13,726606,98817345
3875,37610484351,100000002,7066.25,726561,98817364
3876,37610602703,100000008,7098.38,725836,98818164
3875,37610227055,100000008,7130.49,725405,98818607
3876,37610125687,100000004,7162.61,726624,98817357
3876,37610031209,100000004,7194.73,726624,98817343
3881,37609797010,100000004,7226.85,726624,98817348
3880,37610112424,100000004,7258.97,726575,98817366
3880,37610456468,100000008,7291.08,726539,98817429
3880,37610107611,100000004,7323.21,725379,98818581
3880,37610244484,100000004,7355.33,725915,98818107
3881,37610314769,100000004,7387.44,726624,98817354
3881,37609940317,100000004,7419.57,726624,98817351
3883,37609711769,100000012,7451.69,726624,98817350
3882,37610588890,100000004,7483.81,726554,98817365
3882,37610294765,100000012,7515.92,726370,98817637
3882,37610350924,100000004,7548.04,725119,98818845
3882,37610229766,100000008,7580.16,726365,98817657
3882,37609879207,100000014,7612.28,726624,98817358
3882,37609875394,100000014,7644.40,726624,98817351
3882,37609867777,100000008,7676.52,726608,98817349
3881,37610548827,100000004,7708.63,726560,98817370
3882,37610555237,100000012,7740.76,725899,98818099
3882,37610177357,100000012,7772.87,725341,98818681
3882,37610135869,100000004,7804.99,726624,98817350
3881,37610024788,100000004,7837.11,726624,98817348
3882,37609791430,100000001,7869.24,726624,98817334
3882,37610084004,100000003,7901.36,726579,98817371
3882,37610610989,100000004,7933.47,726536,98817423
3882,37610119708,100000008,7965.59,725446,98818523
3951,37610306951,100000008,7997.71,725847,98818170
3912,37610162190,100000008,8029.83,726624,98817369
3887,37609930894,100000008,8061.95,726624,98817355
3883,37609703107,100000008,8094.07,726624,98817349
3883,37610596086,100000008,8126.19,726554,98817363
3883,37610330429,100000004,8158.31,726419,98817580
3881,37610272402,100000016,8190.43,725126,98818840
3880,37610210275,100000004,8222.55,726309,98817719
3882,37609918305,100000008,8254.67,726624,98817351
3882,37609861171,100000008,8286.79,726624,98817349
3882,37609826031,100000010,8318.90,726616,98817334
3882,37610601347,100000002,8351.03,726552,98817376
3882,37610571881,100000001,8383.14,725964,98818032
3882,37610170881,100000003,8415.26,725276,98818728
3882,37610200041,100000004,8447.39,726624,98817351
3882,37609892692,100000004,8479.50,726624,98817356
3882,37609929905,100000004,8511.62,726624,98817334
3882,37610089311,100000006,8543.74,726580,98817376
3881,37610526480,100000002,8575.86,726538,98817414
3883,37610162267,100000016,8607.98,725518,98818459
3882,37610262761,100000008,8640.10,725772,98818244
3881,37610153227,100000004,8672.22,726624,98817369
3882,37610022485,100000004,8704.33,726624,98817354
3881,37609655859,100000004,8736.45,726624,98817342
3882,37610639054,100000008,8768.58,726554,98817366
3882,37610232528,100000008,8800.70,726480,98817519
3884,37610138214,100000004,8832.81,725102,98818854
3883,37610372557,100000002,8864.93,726272,98817742
3884,37609897825,100000002,8897.05,726624,98817339
3884,37609950113,100000004,8929.16,726624,98817361
3884,37609781980,100000004,8961.29,726617,98817328
3883,37610549356,100000012,8993.41,726555,98817389
3883,37610619855,100000012,9025.53,726021,98817984
3884,37610187143,100000008,9057.65,725215,98818778
3884,37610320318,100000004,9089.77,726624,98817362
3884,37609802131,100000004,9121.88,726624,98817356
3884,37609810829,100000008,9154.00,726624,98817341
3883,37610087780,100000012,9186.12,726587,98817365
3884,37610612828,100000004,9218.25,726535,98817413
3884,37610110227,100000004,9250.36,725596,98818382
3884,37610282714,100000002,9282.48,725690,98818317
3884,37610279903,100000002,9314.60,726624,98817367
3884,37609943893,100000004,9346.72,726624,98817354
3883,37609632866,100000004,9378.83,726624,98817340
3883,37610566055,100000004,9410.95,726556,98817363
3884,37610272121,100000004,9443.08,726528,98817464
3884,37610135684,100000004,9475.19,725117,98818840
3883,37610406438,100000008,9507.31,726207,98817822
3883,37609993508,100000004,9539.44,726624,98817337
3884,37609894309,100000004,9571.55,726624,98817358
3883,37609729650,100000004,9603.67,726618,98817336
3883,37610501669,100000004,9635.79,726556,98817376
3883,37610635383,100000004,9667.91,726081,98817916
3883,37610216742,100000004,9700.03,725153,98818825
3883,37610369941,100000004,9732.15,726624,98817368
3884,37609664435,100000012,9764.26,726624,98817358
3884,37609834244,100000020,9796.38,726624,98817363
3883,37610155037,100000006,9828.50,726593,98817345
3885,37610567483,100000002,9860.62,726538,98817404
3884,37610235021,100000004,9892.74,725635,98818350
3883,37610152025,100000012,9924.86,725642,98818380
3882,37610258549,100000004,9956.98,726624,98817365
3882,37609984883,100000004,9989.09,726624,98817347
3882,37609711047,100000008,10021.21,726624,98817352
3883,37610464615,100000012,10053.33,726562,98817368
3884,37610362854,100000004,10085.46,726527,98817454
3884,37610151157,100000004,10117.57,725159,98818814
3884,37610387613,100000004,10149.69,726160,98817862
3883,37609923634,100000008,10181.81,726624,98817338
3884,37609973014,100000008,10213.93,726624,98817353
3884,37609726733,100000008,10246.05,726624,98817340
3883,37610479527,100000012,10278.17,726554,98817387
3883,37610624256,100000008,10310.28,726139,98817860
3883,37610217973,100000008,10342.40,725122,98818861
3884,37610360809,100000004,10374.53,726593,98817401
3884,37609728531,100000008,10406.65,726624,98817352
3882,37609841526,100000004,10438.77,726624,98817356
3884,37610003250,100000016,10470.89,726600,98817342
3884,37610626039,100000004,10503.00,726539,98817408
3884,37610360286,100000004,10535.12,725688,98818296
3884,37610154639,100000004,10567.25,725581,98818432
3884,37610254214,100000004,10599.36,726624,98817366
3884,37609915704,100000008,10631.48,726624,98817338
3884,37609713154,100000004,10663.59,726624,98817358
3884,37610457765,100000004,10695.72,726563,98817359
3884,37610286678,100000008,10727.84,726535,98817443
3884,37610171571,100000012,10759.95,725207,98818771
3884,37610384238,100000004,10792.08,726103,98817930
3883,37610064294,100000004,10824.19,726624,98817332
3884,37609884960,100000004,10856.31,726624,98817353
3883,37609712555,100000004,10888.43,726624,98817336
3884,37610577953,100000012,10920.55,726554,98817382
3884,37610542367,100000004,10952.67,726199,98817799
3883,37610162768,100000004,10984.79,725124,98818847
3884,37610401905,100000016,11016.90,726531,98817483
3883,37609759357,100000008,11049.02,726624,98817356
3884,37609814554,100000008,11081.14,726624,98817358
3884,37609925023,100000004,11113.27,726602,98817331
3884,37610632855,100000004,11145.39,726546,98817395
3884,37610337363,100000008,11177.51,725738,98818252
3882,37610269610,100000016,11209.62,725522,98818499
3883,37610271783,100000004,11241.74,726624,98817366
3882,37609883369,100000003,11273.86,726624,98817332
3882,37609687820,100000005,11305.98,726624,98817356
3882,37610451768,100000004,11338.10,726567,98817366
3882,37610318701,100000008,11370.22,726536,98817431
3882,37610137441,100000004,11402.34,725269,98818697
3882,37610381748,100000002,11434.45,726036,98817985
3882,37610105437,100000002,11466.57,726624,98817354
3883,37609884738,100000004,11498.69,726624,98817352
3883,37609688111,100000004,11530.81,726624,98817331
3884,37610631073,100000008,11562.93,726554,98817385
3935,37610437416,100000008,11595.05,726263,98817734
3930,37610205485,100000004,11627.17,725128,98818842
3890,37610316768,100000004,11659.29,726463,98817540
3884,37609885555,100000004,11691.41,726624,98817352
3885,37609831800,100000004,11723.53,726624,98817346
3883,37609849146,100000008,11755.65,726604,98817346
3882,37610630935,100000004,11787.77,726555,98817374
3882,37610434989,100000008,11819.89,725792,98818205
3883,37610291769,100000012,11852.00,725457,98818559
3884,37610086860,100000004,11884.13,726624,98817361
3884,37610040580,100000004,11916.25,726624,98817344
3884,37609804884,100000008,11948.36,726624,98817355
3883,37610184560,100000004,11980.48,726573,98817361
3884,37610489727,100000004,12012.60,726530,98817432
3884,37610044273,100000016,12044.73,725320,98818656
3883,37610295632,100000008,12076.84,725985,98818045
3884,37610250662,100000008,12108.96,726624,98817354
3884,37609922118,100000004,12141.08,726624,98817363
3882,37609650894,100000004,12173.20,726624,98817326
3883,37610673497,100000004,12205.32,726554,98817370
3884,37610294303,100000004,12237.44,726323,98817677
3885,37610360261,100000008,12269.55,725114,98818861
3883,37610221397,100000004,12301.67,726417,98817591
3883,37609830316,100000004,12333.79,726624,98817347
3882,37609907219,100000008,12365.91,726624,98817351
3882,37609908572,100000004,12398.03,726606,98817343
3883,37610474641,100000008,12430.15,726562,98817370
3883,37610569540,100000004,12462.27,725850,98818144
3884,37610249587,100000004,12494.39,725390,98818619
3884,37610117438,100000004,12526.51,726624,98817357
3884,37610020281,100000008,12558.63,726624,98817346
3883,37609792594,100000008,12590.75,726624,98817350
3884,37610138013,100000008,12622.87,726575,98817374
3884,37610481019,100000004,12654.99,726539,98817424
3882,37610113704,100000008,12687.11,725396,98818568
3884,37610188935,100000008,12719.23,725898,98818129
3884,37610305695,100000004,12751.34,726624,98817353
3884,37609993324,100000004,12783.47,726624,98817348
3884,37609695138,100000008,12815.58,726624,98817350
3883,37610598102,100000008,12847.70,726554,98817369
3884,37610301058,100000008,12879.82,726378,98817620
3884,37610315755,100000008,12911.94,725121,98818846
3884,37610230781,100000012,12944.06,726355,98817676
3884,37609899960,100000004,12976.18,726624,98817348
3883,37609856433,100000004,13008.30,726624,98817338
3884,37609849482,100000004,13040.42,726609,98817343
3884,37610569658,100000004,13072.54,726559,98817374
3884,37610537078,100000004,13104.65,725906,98818086
3884,37610173800,100000004,13136.77,725334,98818679
3884,37610167565,100000004,13168.89,726624,98817343
3884,37610015653,100000004,13201.01,726624,98817356
3883,37609817658,100000012,13233.13,726624,98817341
3884,37610060171,100000004,13265.25,726580,98817375
3884,37610595955,100000004,13297.37,726535,98817423
3884,37610117334,100000004,13329.48,725457,98818507
3883,37610350943,100000004,13361.61,725836,98818177
3883,37610121769,100000016,13393.72,726624,98817378
3883,37609957593,100000008,13425.84,726624,98817355
3884,37609681738,100000016,13457.96,726624,98817358
3884,37610676102,100000004,13490.08,726554,98817359
3883,37610256883,100000004,13522.20,726432,98817566
3884,37610218220,100000004,13554.32,725116,98818838
3884,37610264228,100000008,13586.44,726306,98817723
3882,37609917081,100000004,13618.56,726624,98817347
3883,37609845180,100000004,13650.67,726624,98817349
3884,37609849079,100000004,13682.80,726616,98817326
3883,37610652637,100000008,13714.92,726552,98817384
3883,37610513516,100000012,13747.04,725970,98818036
3883,37610159450,100000003,13779.15,725270,98818734
3884,37610198007,100000001,13811.28,726624,98817348
3883,37609951107,100000008,13843.39,726624,98817361
3883,37609870959,100000016,13875.51,726624,98817346
3884,37610116298,100000004,13907.63,726581,98817371
3883,37610507885,100000012,13939.75,726538,98817415
3884,37610184485,100000008,13971.87,725537,98818441
3884,37610269264,100000004,14003.99,725752,98818261
3882,37610161454,100000004,14036.11,726624,98817369
3884,37609996891,100000008,14068.23,726624,98817357
3884,37609695006,100000004,14100.34,726624,98817339
3884,37610575858,100000012,14132.47,726554,98817373
3883,37610231989,100000004,14164.58,726496,98817500
3882,37610151187,100000008,14196.71,725102,98818857
3883,37610387391,100000008,14228.82,726256,98817766
3883,37609986256,100000004,14260.94,726624,98817341
3883,37609878818,100000004,14293.06,726624,98817360
3884,37609771045,100000004,14325.18,726617,98817329
3885,37610521812,100000008,14357.29,726557,98817383
3891,37610647124,100000004,14389.42,726033,98817962
3890,37610182609,100000004,14421.54,725201,98818785
3891,37610287972,100000016,14453.66,726624,98817378
3890,37609805708,100000008,14485.77,726624,98817360
3891,37609840059,100000004,14517.89,726624,98817335
3890,37610059979,100000024,14550.01,726590,98817376
3890,37610655003,100000003,14582.13,726532,98817412
3890,37610135146,100000001,14614.25,725602,98818376
3890,37610258637,100000004,14646.37,725684,98818324
3891,37610272881,100000016,14678.49,726624,98817381
3890,37609942768,100000004,14710.61,726624,98817354
3891,37609631704,100000016,14742.73,726624,98817354
3891,37610607510,100000004,14774.85,726556,98817362
3890,37610232008,100000004,14806.96,726530,98817462
3890,37610140989,100000004,14839.09,725128,98818830
3891,37610395165,100000008,14871.20,726194,98817834
3890,37609994411,100000004,14903.32,726624,98817337
3891,37609918855,100000012,14935.44,726624,98817361
3891,37609681489,100000015,14967.56,726622,98817347
3891,37610520939,100000001,14999.68,726554,98817377
3891,37610651228,100000024,15031.80,726103,98817909
3890,37610226411,100000004,15063.92,725129,98818851
3891,37610380703,100000008,15096.04,726624,98817374
3890,37609670817,100000004,15128.16,726624,98817347
3892,37609815636,100000004,15160.27,726624,98817351
3891,37610114779,100000008,15192.40,726593,98817345
3988,37610586144,100000004,15224.52,726541,98817405
3895,37610267060,100000004,15256.63,725644,98818340
3891,37610132506,100000008,15288.76,725630,98818389
3891,37610300434,100000008,15320.88,726624,98817367
3892,37609967726,100000004,15353.00,726624,98817348
3890,37609684432,100000004,15385.12,726624,98817348
3891,37610466694,100000004,15417.24,726562,98817359
3890,37610350665,100000008,15449.36,726530,98817451
3890,37610175777,100000004,15481.47,725172,98818804
3890,37610369008,100000004,15513.59,726144,98817880
3891,37609913163,100000004,15545.71,726624,98817330
3891,37610019289,100000012,15577.83,726624,98817362
3890,37609677121,100000012,15609.95,726624,98817342
3891,37610497217,100000004,15642.07,726554,98817373
3890,37610633933,100000012,15674.19,726160,98817849
3889,37610211251,100000012,15706.31,725115,98818874
3889,37610343031,100000008,15738.43,726579,98817416
3889,37609761135,100000012,15770.55,726624,98817358
3889,37609847760,100000004,15802.66,726624,98817354
3889,37609958656,100000004,15834.78,726601,98817332
3889,37610674556,100000004,15866.90,726538,98817405
3889,37610304280,100000008,15899.02,725702,98818288
3889,37610210829,100000004,15931.14,725567,98818444
3889,37610226479,100000008,15963.26,726624,98817373
3889,37609915935,100000004,15995.38,726624,98817330
3890,37609739835,100000008,16027.49,726624,98817362
3890,37610443807,100000008,16059.62,726565,98817365
3891,37610321218,100000004,16091.74,726533,98817436
3890,37610136018,100000004,16123.86,725220,98818750
3891,37610364044,100000004,16155.97,726090,98817941
3891,37610068740,100000008,16188.10,726624,98817342
3890,37609918475,100000004,16220.22,726624,98817355
3890,37609697104,100000008,16252.33,726624,98817340
3890,37610587548,100000004,16284.45,726554,98817374
3890,37610514570,100000004,16316.57,726214,98817783
3890,37610139700,100000004,16348.70,725132,98818835
3890,37610410011,100000004,16380.81,726508,98817496
3890,37609775401,100000004,16412.92,726624,98817355
3891,37609805925,100000004,16445.04,726624,98817348
3891,37609938339,100000004,16477.16,726602,98817336
3890,37610635676,100000008,16509.28,726546,98817397
3890,37610324900,100000008,16541.40,725751,98818242
3890,37610312014,100000004,16573.52,725509,98818499
3890,37610203118,100000004,16605.64,726624,98817364
3889,37609927268,100000004,16637.77,726624,98817336
3890,37609721295,100000008,16669.89,726624,98817357
3891,37610395250,100000016,16702.00,726569,98817378
3890,37610456159,100000004,16734.12,726534,98817429
3890,37610018497,100000004,16766.24,725276,98818689
3890,37610366079,100000008,16798.36,726029,98817999
3890,37610141933,100000006,16830.48,726624,98817357
3890,37609858301,100000002,16862.59,726624,98817351
3890,37609697307,100000010,16894.72,726624,98817336
3890,37610607116,100000014,16926.83,726554,98817387
3891,37610436571,100000004,16958.96,726281,98817713
3891,37610226470,100000004,16991.07,725123,98818846
3890,37610342677,100000008,17023.19,726450,98817561
3891,37609857214,100000012,17055.31,726624,98817358
3890,37609841701,100000004,17087.43,726624,98817348
3890,37609852999,100000012,17119.54,726604,98817351
3891,37610613544,100000004,17151.67,726555,98817374
3890,37610510922,100000004,17183.78,725802,98818191
3890,37610249746,100000004,17215.90,725447,98818560
3890,37610125994,100000004,17248.03,726624,98817359
3891,37610052300,100000004,17280.15,726624,98817346
