latency(lag),total size,packet,time_stamp,err_count,success_count
3855,37610268443,100000004,6071.43,0,99543988
3855,37609964152,100000016,6103.57,0,99543973
3856,37609694994,100000008,6135.69,0,99543987
3856,37610494633,100000012,6167.81,0,99543929
3855,37610278210,100000004,6199.93,0,99543971
3931,37610143283,100000004,6232.06,0,99543972
3896,37610361593,100000016,6264.18,0,99544045
3861,37610067609,100000008,6296.31,0,99543961
3856,37609921318,100000004,6328.44,0,99543976
3857,37609699557,100000008,6360.56,0,99543962
3857,37610571511,100000004,6392.68,0,99543928
3856,37610548611,100000004,6424.80,0,99543998
3856,37610169989,100000004,6456.93,0,99543974
3855,37610366340,100000004,6489.05,0,99543999
3855,37609782868,100000016,6521.18,0,99543988
3855,37609814801,100000008,6553.30,0,99543982
3855,37609923996,100000008,6585.43,0,99543937
3855,37610644477,100000004,6617.55,0,99543943
3856,37610341837,100000004,6649.67,0,99543984
3856,37610262896,100000004,6681.80,0,99544013
3855,37610280385,100000004,6713.92,0,99543988
3855,37609848121,100000004,6746.04,0,99543957
3855,37609718313,100000008,6778.17,0,99543981
3854,37610456812,100000004,6810.29,0,99543933
3855,37610319245,100000004,6842.42,0,99543964
3856,37610104276,100000004,6874.54,0,99543966
3857,37610390289,100000008,6906.67,0,99544027
3862,37610097654,100000007,6938.79,0,99543982
3868,37609933261,100000005,6970.91,0,99543977
3862,37609663966,100000004,7003.04,0,99543958
3861,37610609726,100000008,7035.16,0,99543937
3861,37610457164,100000004,7067.28,0,99543993
3862,37610192385,100000008,7099.41,0,99543974
3861,37610323044,100000012,7131.53,0,99544011
3862,37609885795,100000004,7163.65,0,99543978
3862,37609796377,100000004,7195.78,0,99543968
3862,37609891992,100000004,7227.90,0,99543946
3862,37610604035,100000012,7260.02,0,99543941
3862,37610460318,100000008,7292.15,0,99543993
3861,37610286576,100000008,7324.28,0,99544016
3861,37610065947,100000003,7356.40,0,99543983
3861,37610019794,100000001,7388.52,0,99543961
3860,37609858733,100000004,7420.64,0,99543977
3863,37610200780,100000004,7452.77,0,99543933
