latency(lag),total size,packet,time_stamp,err_rate
5288,37839768791,100000032,24441.97,0
5286,37839987632,100000032,24458.30,0
5287,37841937279,100000032,24474.63,0
5288,37841747531,100000032,24490.96,0
5289,37842453259,100000032,24507.29,0
5287,37842157233,100000032,24523.63,0
5286,37838638399,100000032,24539.96,0
5286,37836999063,100000032,24556.28,0
5287,37838100881,100000032,24572.61,0
5287,37838982585,100000032,24588.95,0
5287,37837630500,100000032,24605.28,0
5287,37838403636,100000032,24621.60,0
5287,37839367138,100000032,24637.93,0
5287,37836352623,100000032,24654.26,0
5288,37837262729,100000032,24670.59,0
5289,37838591728,100000032,24686.93,0
5291,37840797616,100000032,24703.26,0
5288,37835176544,100000032,24719.57,0
5287,37832697916,100000032,24735.90,0
5287,37835404376,100000032,24752.22,0
5288,37837273382,100000032,24768.56,0
5290,37836719887,100000032,24784.88,0
5293,37838723575,100000032,24801.21,0
5292,37842071786,100000032,24817.55,0
5289,37838521805,100000032,24833.88,0
5288,37833937861,100000032,24850.21,0
5288,37834558023,100000032,24866.53,0
5288,37836130528,100000032,24882.86,0
5288,37835764380,100000032,24899.18,0
5289,37838009065,100000032,24915.51,0
5290,37839061193,100000032,24931.84,0
5287,37836908132,100000032,24948.17,0
5286,37836300496,100000032,24964.49,0
5287,37838481626,100000032,24980.83,0
5286,37832938117,100000032,24997.15,0
5287,37838469791,100000032,25013.48,0
5287,37838453732,100000032,25029.80,0
5287,37838059464,100000032,25046.13,0
5285,37838945775,100000032,25062.47,0
5286,37840021032,100000032,25078.80,0
5287,37840586005,100000032,25095.12,0
5287,37840003859,100000032,25111.46,0
5287,37839997976,100000032,25127.79,0
5286,37840496012,100000032,25144.12,0
5285,37837671638,100000032,25160.45,0
5287,37836867649,100000032,25176.78,0
5287,37838721284,100000032,25193.11,0
5287,37837567988,100000032,25209.43,0
5285,37836199787,100000032,25225.76,0
5286,37837774357,100000032,25242.09,0
5286,37837254958,100000032,25258.42,0
5287,37836741391,100000032,25274.74,0
5290,37841388158,100000032,25291.08,0
5288,37837402345,100000032,25307.41,0
5288,37836655540,100000032,25323.73,0
5287,37831934461,100000032,25340.05,0
5287,37835048518,100000032,25356.38,0
5290,37840297396,100000032,25372.71,0
5292,37838673216,100000032,25389.04,0
5296,37847265955,100000032,25405.38,0
5291,37838151426,100000032,25421.71,0
5289,37839986038,100000032,25438.05,0
5287,37835291939,100000032,25454.37,0
5287,37833616764,100000032,25470.70,0
5287,37834074757,100000032,25487.02,0
5288,37836588469,100000032,25503.34,0
5289,37837701409,100000032,25519.67,0
5288,37836067385,100000032,25536.00,0
5287,37837000726,100000032,25552.33,0
5286,37837469664,100000032,25568.66,0
5286,37837413975,100000032,25584.99,0
5288,37838590310,100000032,25601.32,0
5294,37842988186,100000032,25617.65,0
5294,37843436192,100000032,25633.98,0
5293,37840185623,100000032,25650.32,0
5294,37843041747,100000032,25666.65,0
5293,37843930122,100000032,25682.99,0
5295,37845170582,100000032,25699.33,0
5295,37846408084,100000032,25715.67,0
5293,37842902055,100000032,25732.00,0
5293,37842208747,100000032,25748.33,0
5293,37841584564,100000032,25764.67,0
5294,37842715029,100000032,25781.01,0
5295,37843077654,100000032,25797.33,0
5294,37842236225,100000032,25813.67,0
5294,37843408989,100000032,25830.01,0
5294,37842263607,100000032,25846.33,0
5293,37839732746,100000032,25862.67,0
5294,37838268159,100000032,25879.00,0
5299,37848100345,100000032,25895.34,0
5296,37841186588,100000032,25911.68,0
5295,37838393018,100000032,25928.00,0
5294,37838092348,100000032,25944.33,0
5296,37840901292,100000032,25960.66,0
5297,37843092143,100000032,25977.00,0
